index,axis-0,axis-1,axis-2,sigma
0.0,1.0,116.0,116.0,5.0
1.0,3.0,13.0,64.0,5.0
2.0,3.0,116.0,117.0,5.0
3.0,4.0,16.0,62.0,5.0
4.0,5.0,19.0,59.0,5.0
5.0,6.0,20.0,60.0,5.0
6.0,7.0,22.0,58.0,5.0
7.0,8.0,22.0,58.0,5.0
8.0,8.0,116.0,117.0,5.0
9.0,9.0,26.0,53.0,5.0
10.0,9.0,25.0,61.0,5.0
11.0,10.0,30.0,63.0,5.0
12.0,10.0,29.0,49.0,5.0
13.0,11.0,34.0,63.0,5.0
14.0,11.0,30.0,48.0,5.0
15.0,11.0,116.0,116.0,5.0
16.0,12.0,32.0,45.0,5.0
17.0,12.0,36.0,63.0,5.0
18.0,13.0,34.0,42.0,5.0
19.0,13.0,39.0,63.0,5.0
20.0,13.0,116.0,116.0,5.0
21.0,14.0,41.0,62.0,5.0
22.0,14.0,37.0,40.0,5.0
23.0,15.0,46.0,64.0,5.0
24.0,15.0,42.0,36.0,5.0
25.0,15.0,116.0,116.0,5.0
26.0,16.0,52.0,64.0,5.0
27.0,16.0,45.0,33.0,5.0
28.0,16.0,48.0,41.0,5.0
29.0,17.0,56.0,64.0,5.0
30.0,17.0,52.0,42.0,5.0
31.0,17.0,46.0,27.0,5.0
32.0,17.0,116.0,117.0,5.0
33.0,18.0,57.0,62.0,5.0
34.0,18.0,50.0,23.0,5.0
35.0,18.0,55.0,42.0,5.0
36.0,19.0,57.0,42.0,5.0
37.0,19.0,63.0,59.0,5.0
38.0,19.0,47.0,17.0,5.0
39.0,20.0,59.0,41.0,5.0
40.0,20.0,68.0,59.0,5.0
41.0,20.0,45.0,12.0,5.0
42.0,21.0,73.0,60.0,5.0
43.0,21.0,40.0,10.0,5.0
44.0,21.0,63.0,41.0,5.0
45.0,21.0,116.0,117.0,5.0
46.0,22.0,77.0,60.0,5.0
47.0,22.0,68.0,42.0,5.0
48.0,22.0,37.0,10.0,5.0
49.0,23.0,79.0,60.0,5.0
50.0,23.0,32.0,9.0,5.0
51.0,23.0,71.0,42.0,5.0
52.0,23.0,116.0,116.0,5.0
53.0,24.0,76.0,41.0,5.0
54.0,24.0,79.0,60.0,5.0
55.0,24.0,28.0,10.0,5.0
56.0,25.0,22.0,9.0,5.0
57.0,25.0,80.0,60.0,5.0
58.0,25.0,79.0,44.0,5.0
59.0,25.0,116.0,116.0,5.0
60.0,26.0,82.0,51.0,5.0
61.0,26.0,18.0,10.0,5.0
62.0,27.0,15.0,13.0,5.0
63.0,27.0,87.0,51.0,5.0
64.0,27.0,116.0,116.0,5.0
65.0,28.0,92.0,52.0,5.0
66.0,28.0,12.0,19.0,5.0
67.0,28.0,116.0,116.0,5.0
68.0,29.0,10.0,23.0,5.0
69.0,29.0,93.0,51.0,5.0
70.0,30.0,98.0,52.0,5.0
71.0,30.0,116.0,116.0,5.0
72.0,31.0,99.0,51.0,5.0
73.0,32.0,101.0,51.0,5.0
74.0,32.0,116.0,116.0,5.0
75.0,33.0,102.0,51.0,5.0
76.0,33.0,116.0,116.0,5.0
77.0,34.0,104.0,52.0,5.0
78.0,35.0,105.0,52.0,5.0
79.0,36.0,107.0,51.0,5.0
80.0,36.0,116.0,116.0,5.0
81.0,37.0,108.0,52.0,5.0
82.0,38.0,112.0,52.0,5.0
83.0,39.0,115.0,51.0,5.0
84.0,39.0,19.0,108.0,5.0
85.0,40.0,117.0,51.0,5.0
86.0,40.0,23.0,108.0,5.0
87.0,41.0,28.0,108.0,5.0
88.0,41.0,120.0,52.0,5.0
89.0,41.0,116.0,116.0,5.0
90.0,42.0,31.0,108.0,5.0
91.0,42.0,116.0,116.0,5.0
92.0,43.0,36.0,108.0,5.0
93.0,45.0,39.0,108.0,5.0
94.0,45.0,116.0,116.0,5.0
95.0,46.0,44.0,108.0,5.0
96.0,46.0,116.0,116.0,5.0
97.0,47.0,48.0,108.0,5.0
98.0,47.0,116.0,116.0,5.0
99.0,48.0,51.0,108.0,5.0
100.0,48.0,116.0,116.0,5.0
101.0,49.0,56.0,109.0,5.0
102.0,49.0,116.0,116.0,5.0
